"","version","date","nickname"
"1","0.60","1997-12-04",NA
"2","0.61","1997-12-21",NA
"3","0.61.1","1998-01-10",NA
"4","0.61.2","1998-03-14",NA
"5","0.61.3","1998-05-02",NA
"6","0.62","1998-06-14",NA
"7","0.62.1","1998-06-14",NA
"8","0.62.2","1998-07-10",NA
"9","0.62.3","1998-08-28",NA
"10","0.62.4","1998-10-23",NA
"11","0.63","1998-11-13",NA
"12","0.63.1","1998-12-04",NA
"13","0.63.2","1999-01-11",NA
"14","0.63.3","1999-03-05",NA
"15","0.64","1999-04-07",NA
"16","0.64.1","1999-05-07",NA
"17","0.64.2","1999-07-02",NA
"18","0.65","1999-08-27",NA
"19","0.65.1","1999-10-06",NA
"20","0.90","1999-11-22",NA
"21","0.90.1","1999-12-15",NA
"22","0.99","2000-02-07",NA
"23","1.0","2000-02-29",NA
"24","1.0.1","2000-04-14",NA
"25","1.1","2000-06-15",NA
"26","1.1.1","2000-08-15",NA
"27","1.2","2000-12-15",NA
"28","1.2.1","2001-01-15",NA
"29","1.2.2","2001-02-26",NA
"30","1.2.3","2001-04-26",NA
"31","1.3","2001-06-22",NA
"32","1.3.1","2001-08-31",NA
"33","1.4","2001-12-19",NA
"34","1.4.1","2002-01-30",NA
"35","1.5.0","2002-04-29",NA
"36","1.5.1","2002-06-17",NA
"37","1.6.0","2002-10-01",NA
"38","1.6.1","2002-11-01",NA
"39","1.6.2","2003-01-10",NA
"40","1.7.0","2003-04-16",NA
"41","1.7.1","2003-06-16",NA
"42","1.8.0","2003-10-08",NA
"43","1.8.1","2003-11-21",NA
"44","1.9.0","2004-04-12",NA
"45","1.9.1","2004-06-21",NA
"46","2.0.0","2004-10-04",NA
"47","2.0.1","2004-11-15",NA
"48","2.1.0","2005-04-18",NA
"49","2.1.1","2005-06-20",NA
"50","2.2.0","2005-10-06",NA
"51","2.2.1","2005-12-20",NA
"52","2.3.0","2006-04-24",NA
"53","2.3.1","2006-06-01",NA
"54","2.4.0","2006-10-03",NA
"55","2.4.1","2006-12-18",NA
"56","2.5.0","2007-04-24",NA
"57","2.5.1","2007-06-28",NA
"58","2.6.0","2007-10-03",NA
"59","2.6.1","2007-11-26",NA
"60","2.6.2","2008-02-08",NA
"61","2.7.0","2008-04-22",NA
"62","2.7.1","2008-06-23",NA
"63","2.7.2","2008-08-25",NA
"64","2.8.0","2008-10-20",NA
"65","2.8.1","2008-12-22",NA
"66","2.9.0","2009-04-17",NA
"67","2.9.1","2009-06-26",NA
"68","2.9.2","2009-08-24",NA
"69","2.10.0","2009-10-26",NA
"70","2.10.1","2009-12-14",NA
"71","2.11.0","2010-04-22",NA
"72","2.11.1","2010-05-31",NA
"73","2.12.0","2010-10-15",NA
"74","2.12.1","2010-12-16",NA
"75","2.12.2","2011-02-25",NA
"76","2.13.0","2011-04-13",NA
"77","2.13.1","2011-07-08",NA
"78","2.13.2","2011-09-30",NA
"79","2.14.0","2011-10-31","Great Pumpkin"
"80","2.14.1","2011-12-22","December Snowflakes"
"81","2.14.2","2012-02-29","Gift-Getting Season"
"82","2.15.0","2012-03-30","Easter Beagle"
"83","2.15.1","2012-06-22","Roasted Marshmallows"
"84","2.15.2","2012-10-26","Trick or Treat"
"85","2.15.3","2013-03-01","Security Blanket"
"86","3.0.0","2013-04-03","Masked Marvel"
"87","3.0.1","2013-05-16","Good Sport"
"88","3.0.2","2013-09-25","Frisbee Sailing"
"89","3.0.3","2014-03-06","Warm Puppy"
"90","3.1.0","2014-04-10","Spring Dance"
"91","3.1.1","2014-07-10","Sock it to Me"
"92","3.1.2","2014-10-31","Pumpkin Helmet"
"93","3.1.3","2015-03-09","Smooth Sidewalk"
"94","3.2.0","2015-04-16","Full of Ingredients"
"95","3.2.1","2015-06-18","World-Famous Astronaut"
"96","3.2.2","2015-08-14","Fire Safety"
"97","3.2.3","2015-12-10","Wooden Christmas-Tree"
"98","3.2.4","2016-03-10","Very Secure Dishes"
"99","3.2.5","2016-04-14","Very, Very Secure Dishes"
"100","3.3.0","2016-05-03","Supposedly Educational"
"101","3.3.1","2016-06-21","Bug in Your Hair"
"102","3.3.2","2016-10-31","Sincere Pumpkin Patch"
"103","3.3.3","2017-03-06","Another Canoe"
"104","3.4.0","2017-04-21","You Stupid Darkness"
"105","3.4.1","2017-06-30","Single Candle"
"106","3.4.2","2017-09-28","Short Summer"
"107","3.4.3","2017-11-30","Kite-Eating Tree"
"108","3.4.4","2018-03-15","Someone to Lean On"
"109","3.5.0","2018-04-23","Joy in Playing"
"110","3.5.1","2018-07-02","Feather Spray"
"111","3.5.2","2018-12-20","Eggshell Igloo"
"112","3.5.3","2019-03-11","Great Truth"
"113","3.6.0","2019-04-26","Planting of a Tree"
"114","3.6.1","2019-07-05","Action of the Toes"
